TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d028537,C1-C2+,Zm00001d038863,-0.775364,0.891327
Zm00001d028537,C1-C2+,Zm00001d005029,-0.806039,0.897686
Zm00001d028537,C1-C2+,Zm00001d012255,-0.790282,0.916630
Zm00001d036297,C1-C2+,Zm00001d025141,-0.752087,0.853186
Zm00001d036297,C1-C2+,Zm00001d015487,-0.772749,0.874440
Zm00001d044261,C1-C2+,Zm00001d008919,-0.774789,0.860414
Zm00001d047976,C1-C2+,Zm00001d014201,-0.754407,0.844206
Zm00001d053682,C1-C2+,Zm00001d049991,-0.790334,0.913549
Zm00001d045661,C1-C2+,Zm00001d038863,-0.750180,0.952083
Zm00001d003162,C1-C2+,Zm00001d025141,-0.858062,0.970167
Zm00001d003162,C1-C2+,Zm00001d038863,-0.760138,0.961451
Zm00001d003162,C1-C2+,Zm00001d012703,-0.859519,0.870834
Zm00001d003162,C1-C2+,Zm00001d012255,-0.846910,0.953965
Zm00001d003162,C1-C2+,Zm00001d029505,-0.828726,0.898204
Zm00001d045323,C1-C2+,Zm00001d029020,-0.956184,0.865496
Zm00001d025957,C1-C2+,Zm00001d025141,-0.751763,0.840657
Zm00001d025957,C1-C2+,Zm00001d051239,-0.807352,0.841243
Zm00001d025957,C1-C2+,Zm00001d005029,-0.831924,0.859396
Zm00001d025957,C1-C2+,Zm00001d029242,-0.785134,0.867175
Zm00001d012963,C1-C2+,Zm00001d025141,-0.821744,0.849365
Zm00001d012963,C1-C2+,Zm00001d025477,-0.846335,0.845234
Zm00001d012963,C1-C2+,Zm00001d037941,-0.764362,0.873662
Zm00001d012963,C1-C2+,Zm00001d005029,-0.883747,0.848266
Zm00001d012963,C1-C2+,Zm00001d029242,-0.854616,0.861372
Zm00001d017788,C1-C2+,Zm00001d025141,-0.849841,0.928618
Zm00001d017788,C1-C2+,Zm00001d029242,-0.780161,0.866917
Zm00001d038693,C1-C2+,Zm00001d025141,-0.769758,0.984266
Zm00001d038693,C1-C2+,Zm00001d025477,-0.794630,0.951439
Zm00001d038693,C1-C2+,Zm00001d051239,-0.864527,0.952477
Zm00001d038693,C1-C2+,Zm00001d005029,-0.838080,0.941997
Zm00001d038693,C1-C2+,Zm00001d029242,-0.750075,0.985490
Zm00001d038693,C1-C2+,Zm00001d011645,-0.795479,0.939227
Zm00001d038693,C1-C2+,Zm00001d029505,-0.770428,0.893290
Zm00001d038693,C1-C2+,Zm00001d016052,-0.827848,0.877273
Zm00001d010740,C1-C2+,Zm00001d025141,-0.895230,0.978387
Zm00001d010740,C1-C2+,Zm00001d038863,-0.757549,0.965429
Zm00001d010740,C1-C2+,Zm00001d012703,-0.918289,0.854444
Zm00001d010740,C1-C2+,Zm00001d005029,-0.791375,0.939976
Zm00001d010740,C1-C2+,Zm00001d012255,-0.841248,0.950587
Zm00001d010740,C1-C2+,Zm00001d011645,-0.819356,0.934196
Zm00001d010740,C1-C2+,Zm00001d029505,-0.877231,0.883089
Zm00001d010740,C1-C2+,Zm00001d035457,-0.827842,0.907083
Zm00001d010740,C1-C2+,Zm00001d016052,-0.811524,0.875119
Zm00001d011058,C1-C2+,Zm00001d025477,-0.794952,0.874363
